 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
WV10   GOES12  20080827  2255   15.58    83.48   150    6.2   76  75.61  0.84
WV10   GOES12  20080827  2255   15.67    82.82   275    7.7   78  80.82  0.89
WV10   GOES12  20080827  2255   15.94    80.07   287    6.2   76  69.00  0.61
WV10   GOES12  20080827  2255   15.09    82.60   325    7.7   78  73.53  0.96
WV10   GOES12  20080827  2255   14.52    82.30   312    8.8   65  66.76  0.97
WV10   GOES12  20080827  2255   14.13    81.43   162    7.9   87  81.83  0.86
WV10   GOES12  20080827  2255   14.13    80.77   175    8.3  100  68.02  0.89
WV10   GOES12  20080827  2255   13.85    82.56   300    7.9   61  68.49  0.86
WV10   GOES12  20080827  2255   13.56    82.07   300    7.8   65  72.53  0.86
WV10   GOES12  20080827  2255   13.75    81.23   162    8.1  101  70.30  0.98
WV10   GOES12  20080827  2255   13.84    80.86   162    8.1  101  70.33  0.96
WV10   GOES12  20080827  2255   13.73    77.96   300   12.1  103  54.87  0.58
WV10   GOES12  20080827  2255   13.09    82.34   187    9.0   75  75.67  0.84
WV10   GOES12  20080827  2255   12.90    81.58   187    6.5   89  61.56  0.81
WV10   GOES12  20080827  2255   12.99    80.56   175    8.3  102  60.94  0.94
WV10   GOES12  20080827  2255   13.17    80.28   287    9.4  105  61.33  0.75
IR     GOES12  20080827  2255   33.82    59.74   237   17.9  249  63.14  0.70
IR     GOES12  20080827  2255   33.25    61.03   262   16.8  277  64.94  0.51
IR     GOES12  20080827  2255   33.45    59.14   375   14.2  249  71.44  0.86
IR     GOES12  20080827  2255   32.72    61.50   287   20.5  284  55.10  0.91
IR     GOES12  20080827  2255   32.72    61.36   300   19.0  282  58.86  0.93
IR     GOES12  20080827  2255   32.63    60.96   375   11.7  271  62.88  0.65
IR     GOES12  20080827  2255   32.28    59.92   300   12.5  263  69.72  0.91
IR     GOES12  20080827  2255   32.28    59.81   300   13.3  261  69.14  0.98
IR     GOES12  20080827  2255   32.39    59.31   275   13.3  272  77.67  1.00
IR     GOES12  20080827  2255   31.82    61.47   300   12.2  271  66.56  0.60
IR     GOES12  20080827  2255   31.74    61.10   300    9.8  268  61.06  0.96
IR     GOES12  20080827  2255   31.90    60.31   287   11.8  272  73.86  0.99
IR     GOES12  20080827  2255   31.95    60.09   287   12.2  267  69.94  0.99
IR     GOES12  20080827  2255   31.59    59.61   275   11.1  283  76.48  0.96
IR     GOES12  20080827  2255   32.11    59.29   275   12.2  278  72.96  0.97
IR     GOES12  20080827  2255   31.35    61.92   312    8.6  269  58.46  0.74
IR     GOES12  20080827  2255   31.27    61.31   362    6.9  252  55.23  0.78
IR     GOES12  20080827  2255   31.10    60.74   337    7.3  297  67.03  0.76
IR     GOES12  20080827  2255   31.21    59.97   325    7.4  285  71.22  0.97
IR     GOES12  20080827  2255   31.35    59.81   312    8.5  284  71.41  0.95
IR     GOES12  20080827  2255   31.27    59.33   250    7.6  290  65.47  0.97
IR     GOES12  20080827  2255   30.90    59.20   250    7.4  291  71.24  0.98
IR     GOES12  20080827  2255   30.20    61.72   275    7.8  315  72.42  0.77
IR     GOES12  20080827  2255   30.67    61.13   212    8.2  291  64.33  0.84
IR     GOES12  20080827  2255   30.40    60.92   212    7.1  306  66.58  0.96
IR     GOES12  20080827  2255   30.41    60.51   237    9.8  306  70.96  0.95
IR     GOES12  20080827  2255   30.24    60.18   212    8.6  308  74.85  1.00
IR     GOES12  20080827  2255   30.56    59.86   225    8.5  298  80.28  0.98
IR     GOES12  20080827  2255   30.62    59.46   212    6.7  292  68.41  0.96
IR     GOES12  20080827  2255   30.67    59.08   237    8.3  296  77.53  0.90
IR     GOES12  20080827  2255   30.00    60.73   212    8.6  310  73.39  0.98
IR     GOES12  20080827  2255   29.96    60.48   200    8.3  309  74.33  0.99
IR     GOES12  20080827  2255   29.87    60.06   162    9.0  321  72.69  0.69
IR     GOES12  20080827  2255   29.61    59.57   237    8.5  335  62.03  0.82
IR     GOES12  20080827  2255   27.43    61.99   868    4.5  124  75.83  0.90
IR     GOES12  20080827  2255   27.97    61.31   887    4.0  138  73.84  0.86
IR     GOES12  20080827  2255   27.25    60.11   868    4.6  107  81.53  0.62
IR     GOES12  20080827  2255   26.56    61.74   868    5.4  109  82.83  0.88
IR     GOES12  20080827  2255   26.30    59.96   868    6.5  109  86.06  0.97
IR     GOES12  20080827  2255   26.65    59.53   887    5.7  114  80.40  0.97
