 type   sat      day     hms     lat     lon     pre   spd   dir
WV10   GOES12  20050825  2245   14.44    76.23   137   13.9   57
WV10   GOES12  20050825  2245   14.44    74.36   187    9.7   54
WV10   GOES12  20050825  2245   14.53    73.61   175    9.8   51
WV10   GOES12  20050825  2245   14.53    73.24   137    9.7   51
WV10   GOES12  20050825  2245   14.34    72.68   212   11.7   51
WV10   GOES12  20050825  2245   14.25    71.93   237   12.3   53
WV10   GOES12  20050825  2245   14.34    71.27   162   12.0   51
WV10   GOES12  20050825  2245   13.88    90.73   137   10.3   88
WV10   GOES12  20050825  2245   13.98    90.44   137   10.9   96
WV10   GOES12  20050825  2245   13.68    76.69   212   13.9   50
WV10   GOES12  20050825  2245   13.68    75.67   137   12.7   53
WV10   GOES12  20050825  2245   13.77    75.11   162   13.3   49
WV10   GOES12  20050825  2245   13.87    74.64   187   10.9   48
WV10   GOES12  20050825  2245   13.68    73.90   162   10.5   56
WV10   GOES12  20050825  2245   13.87    72.96   150   11.5   52
WV10   GOES12  20050825  2245   13.68    72.59   187   12.7   50
WV10   GOES12  20050825  2245   13.77    71.85   237   11.2   54
WV10   GOES12  20050825  2245   13.77    71.38   250   11.9   54
WV10   GOES12  20050825  2245   13.11    76.41   225   12.3   51
WV10   GOES12  20050825  2245   13.30    75.67   137   13.1   52
WV10   GOES12  20050825  2245   13.02    74.83   162   13.3   52
WV10   GOES12  20050825  2245   13.11    74.18   162   11.0   52
WV10   GOES12  20050825  2245   13.20    72.60   175   12.1   55
WV10   GOES12  20050825  2245   13.30    72.22   187   12.0   55
WV11   GOES12  20050825  2245   38.54    72.08   450   17.3  324
WV11   GOES12  20050825  2245   37.88    75.20   325   19.5  314
WV11   GOES12  20050825  2245   37.62    73.90   300   22.4  317
WV11   GOES12  20050825  2245   36.98    75.66   137   22.9  305
WV11   GOES12  20050825  2245   36.85    74.72   150   20.9  311
WV11   GOES12  20050825  2245   36.59    74.26   150   26.1  318
WV11   GOES12  20050825  2245   37.23    72.37   450   13.6  302
WV11   GOES12  20050825  2245   36.09    74.38   150   23.4  318
WV11   GOES12  20050825  2245   36.21    73.80   150   22.9  315
WV11   GOES12  20050825  2245   35.84    72.07   462   11.5  317
WV11   GOES12  20050825  2245   35.97    71.03   475   10.5  315
WV11   GOES12  20050825  2245   35.72    70.46   475   10.3  320
WV11   GOES12  20050825  2245   34.97    75.97   387   16.4  317
WV11   GOES12  20050825  2245   35.22    74.72   350   25.0  316
WV11   GOES12  20050825  2245   35.22    74.49   350   24.4  317
WV11   GOES12  20050825  2245   35.47    71.74   462   11.2  320
WV11   GOES12  20050825  2245   35.22    71.29   475   11.1  326
WV11   GOES12  20050825  2245   34.48    73.03   437   11.3  289
WV11   GOES12  20050825  2245   34.36    72.24   437   12.7  305
WV11   GOES12  20050825  2245   34.48    71.56   450   13.2  317
WV11   GOES12  20050825  2245   34.24    71.00   450   16.2  320
WV11   GOES12  20050825  2245   33.63    72.82   425   12.1  285
WV11   GOES12  20050825  2245   32.68    72.73   287   13.6  294
WV11   GOES12  20050825  2245   32.56    71.30   412   12.8  296
WV11   GOES12  20050825  2245   32.45    70.87   400   14.0  296
WV11   GOES12  20050825  2245   31.63    71.67   275   11.9  297
WV11   GOES12  20050825  2245   30.25    74.40   225   11.3  354
WV11   GOES12  20050825  2245   29.36    86.16   350    7.1   17
WV11   GOES12  20050825  2245   28.90    94.94   175   14.4   97
WV11   GOES12  20050825  2245   28.78    94.57   162   16.7   95
WV11   GOES12  20050825  2245   28.74    93.30   175   16.1   90
WV11   GOES12  20050825  2245   28.84    92.63   237   13.1   86
WV11   GOES12  20050825  2245   28.71    91.93   250   15.6   80
WV11   GOES12  20050825  2245   28.68    91.03   137   13.0   77
WV11   GOES12  20050825  2245   28.49    87.46   275    7.2   76
