#id:int,plevel:real,log_plevel:real
1,100000.0,11.5129254649702
2,85000.0,11.3504065354725
3,70000.0,11.1562505210315
4,50000.0,10.8197782844103
5,40000.0,10.5966347330961
6,30000.0,10.3089526606443
7,25000.0,10.1266311038503
8,20000.0,9.90348755253613
9,15000.0,9.61580548008435
10,10000.0,9.21034037197618
11,7000.0,8.85366542803745
12,5000.0,8.51719319141624
13,3000.0,8.00636756765025
14,2000.0,7.60090245954208
15,1000.0,6.90775527898214
