id	description	group_id	group	bufrtype_id	bufrtype	subtype_id	subtype	obstype_id	obstype	codetype_id	codetype	sensor_id	sensor	satellite_instrument_id	satellite_instrument	satellite_identifier_id	satellite_identifier	accumulation_length
16083	BUFR MOORED BUOYS	17	CONV	1	Sea Surface	181	BUFR MOORED BUOYS	4	BUOY	188	BUFR MOORED BUOYS	-1	-1	-1	-1	-1	-1	-1
16082	WIGOS AMDAR	17	CONV	4	AIREP	146	WIGOS AMDAR	2	AIREP	146	WIGOS AMDAR	-1	-1	-1	-1	-1	-1	-1
16074	BUFR SHIP SYNOP	17	CONV	1	Sea Surface	180	BUFR SHIP SYNOP	1	SYNOP	182	BUFR SHIP SYNOP	-1	-1	-1	-1	-1	-1	-1
16069	BUFR SHIP PILOT	17	CONV	2	Upper Air Sounding	113	BUFR SHIP PILOT	6	PILOT	113	BUFR SHIP PILOT	-1	-1	-1	-1	-1	-1	-1
16068	BUFR LAND PILOT	17	CONV	2	Upper Air Sounding	112	BUFR LAND PILOT	6	PILOT	112	BUFR LAND PILOT	-1	-1	-1	-1	-1	-1	-1
16065	Automatic METAR	17	CONV	0	Land Surface	147	AUTO METAR	1	SYNOP	140	METAR	-1	-1	-1	-1	-1	-1	-1
16045	BUFR LAND TEMP	17	CONV	2	Upper Air Sounding	109	Land High Resolution Temp	5	TEMP	109	Land High Resolution Temp	-1	-1	-1	-1	-1	-1	-1
16046	BUFR SHIP TEMP	17	CONV	2	Upper Air Sounding	111	SHIP High Resolution TEMP	5	TEMP	111	SHIP High Resolution TEMP	-1	-1	-1	-1	-1	-1	-1
16066	TAMDAR	17	CONV	4	AIREP	148	TAMDAR	2	AIREP	148	TAMDAR	-1	-1	-1	-1	-1	-1	-1
25001	Ground-Based Radar	26	GBRAD	6	Ground-based radar	125	Radar rain rate	14	Ground-based weather radar	3	Radar Rain Rates	-1	-1	-1	-1	-1	-1	-1
16067	ACARs with mixing ratio	17	CONV	4	AIREP	149	ACARs with mixing ratio	2	AIREP	149	ACARs with mixing ratio	-1	-1	-1	-1	-1	-1	-1
16025	Additional Land Surface Data	17	CONV	0	Land Surface	28	SNOW DEPTH	1	SYNOP	17	Additional Land Surface Data	-1	-1	-1	-1	-1	-1	-1
16076	BUFR LAND SYNOP	17	CONV	0	Land Surface	170	BUFR LAND SYNOP	1	SYNOP	170	BUFR LAND SYNOP	-1	-1	-1	-1	-1	-1	-1
16076	BUFR LAND SYNOP	17	CONV	0	Land Surface	172	BUFR LAND SYNOP 2	1	SYNOP	170	BUFR LAND SYNOP	-1	-1	-1	-1	-1	-1	-1
16076	BUFR LAND SYNOP	17	CONV	0	Land Surface	176	BUFR LAND SYNOP WMO Region 6	1	SYNOP	170	BUFR LAND SYNOP	-1	-1	-1	-1	-1	-1	-1
16076	BUFR LAND SYNOP	17	CONV	0	Land Surface	178	BUFR LAND SYNOP 1 HOURLY	1	SYNOP	178	BUFR LAND SYNOP 1 HOURLY	-1	-1	-1	-1	-1	-1	-1
16086	BUFR TEMP DROP	17	CONV	2	Upper Air Sounding	230	BUFR TEMP DROP	5	TEMP	230	BUFR TEMP DROP	-1	-1	-1	-1	-1	-1	-1
16087	BUFR TEMP DESCENT	17	CONV	2	Upper Air Sounding	231	BUFR TEMP DESCENT	5	TEMP	231	BUFR TEMP DESCENT	-1	-1	-1	-1	-1	-1	-1
16088	Mode-S	17	CONV	4	AIREP	150	Mode-S	2	AIREP	147	Mode-S	-1	-1	-1	-1	-1	-1	-1
16089	ADS-C	17	CONV	4	AIREP	151	ADS-C	2	AIREP	151	ADS-C	-1	-1	-1	-1	-1	-1	-1
16090	Crowd AWS	17	CONV	0	Land Surface	179	Crowd AWS	1	SYNOP	179	Crowd AWS	-1	-1	-1	-1	-1	-1	-1
9001	Old ERS 1 Scatterometer	10	SCATT	12	ERS-SSMI-SCAT	8	ERS-1	9	Scatterometer	8	Old ERS 1	150	Scatterometer	150	SCATTEROMETER	1	ERS 1	-1
9002	New ERS 1 Scatterometer	10	SCATT	12	ERS-SSMI-SCAT	122	ERS	9	Scatterometer	122	ERS	150	Scatterometer	150	SCATTEROMETER	1	ERS 1	-1
5001	ERS 2 GOME O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	170	GOME	170	GOME	2	ERS 2	-1
9003	ERS 2 Scatterometer	10	SCATT	12	ERS-SSMI-SCAT	122	ERS	9	Scatterometer	122	ERS	150	Scatterometer	150	SCATTEROMETER	2	ERS 2	-1
35002	ERS-2 GOME layer integrated mass density with averaging kernels	36	RESAT Averaging Kernels	3	Satellite Sounding	209	Layer integrated mass density with averaging kernels	7	SATEM	206	Retrieved Atmospheric Constituents	170	GOME	170	GOME	2	ERS 2	-1
5025	ERS 2 GOME MACC O3	6	RESAT	3	Satellite Sounding	205	Retrieved O3 Layers for MACC ozone observation operator	7	SATEM	206	Retrieved Atmospheric Constituents	170	GOME	170	GOME	2	ERS 2	-1
5050	ERS-2 GOME Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	170	GOME	170	GOME	2	ERS 2	-1
9007	METOP-B ASCAT	10	SCATT	12	ERS-SSMI-SCAT	139	ASCAT	9	Scatterometer	139	ASCAT	190	ASCAT	190	ASCAT	3	METOP-1 (Metop-B)	-1
25	METOP-B HIRS Radiances	1	HIRS	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	0	HIRS	607	HIRS/4	3	METOP-1 (Metop-B)	-1
1009	METOP-B AMSUA Radiances	2	AMSUA	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	3	AMSUA	570	AMSU-A	3	METOP-1 (Metop-B)	-1
3004	METOP-B MHS Radiances	4	MHS	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	15	MHS	203	MHS	3	METOP-1 (Metop-B)	-1
7013	METOP-B GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	202	GRAS	202	GRAS	3	METOP-1 (Metop-B)	-1
11002	METOP-B IASI Radiances	12	IASI	3	Satellite Sounding	240	IASI	7	SATEM	210	Radiances	16	IASI	221	IASI	3	METOP-1 (Metop-B)	-1
21009	METOP-B AMSUA Radiances All-sky	22	AMSUA All-sky	3	Satellite Sounding	55	ATOVS	16	ALLSKY	215	SSMI/TRMM	3	AMSUA	570	AMSU-A	3	METOP-1 (Metop-B)	-1
5057	METOP-B GOME-2 O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	3	METOP-1 (Metop-B)	-1
35011	METOP-B IASI layer integrated mass density with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	229	Layer integrated mass density with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	3	METOP-1 (Metop-B)	-1
44004	MHS METOP-B MHS Radiances All-sky	45	MHS All-sky	3	Satellite Sounding	55	ATOVS	16	ALLSKY	215	SSMI/TRMM	15	MHS	203	MHS	3	METOP-1 (Metop-B)	-1
5061	METOP-B GOME-2 Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	3	METOP-1 (Metop-B)	-1
35012	METOP-B GOME-2 layer integrated mass density with averaging kernels	36	RESAT Averaging Kernels	3	Satellite Sounding	209	Layer integrated mass density with averaging kernels	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	3	METOP-1 (Metop-B)	-1
35013	METOP-B GOME-2 layer integrated mass density with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	229	Layer integrated mass density with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	3	METOP-1 (Metop-B)	-1
5062	METOP-B GOME-2 MACC O3	6	RESAT	3	Satellite Sounding	205	Retrieved O3 Layers for MACC ozone observation operator	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	3	METOP-1 (Metop-B)	-1
5072	METOP-B GOME-2 PMAP	6	RESAT	3	Satellite Sounding	207	MODIS aerosol	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	3	METOP-1 (Metop-B)	-1
35017	METOP-B IASI layer volumetric mixing ratio with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	228	Layer volumetric mixing ratio with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	3	METOP-1 (Metop-B)	-1
5087	METOP-B IASI Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	3	METOP-1 (Metop-B)	-1
15	METOP-A HIRS Radiances	1	HIRS	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	0	HIRS	607	HIRS/4	4	METOP-2 (Metop-A)	-1
1007	METOP-A AMSUA Radiances	2	AMSUA	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	3	AMSUA	570	AMSU-A	4	METOP-2 (Metop-A)	-1
3002	METOP-A MHS Radiances	4	MHS	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	15	MHS	203	MHS	4	METOP-2 (Metop-A)	-1
5013	METOP-A GOME-2 O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	4	METOP-2 (Metop-A)	-1
7001	METOP-A GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	202	GRAS	202	GRAS	4	METOP-2 (Metop-A)	-1
9005	METOP-A ASCAT	10	SCATT	12	ERS-SSMI-SCAT	139	ASCAT	9	Scatterometer	139	ASCAT	190	ASCAT	190	ASCAT	4	METOP-2 (Metop-A)	-1
11001	METOP-A IASI Radiances	12	IASI	3	Satellite Sounding	240	IASI	7	SATEM	210	Radiances	16	IASI	221	IASI	4	METOP-2 (Metop-A)	-1
21007	METOP-A AMSUA Radiances All-sky	22	AMSUA All-sky	3	Satellite Sounding	55	ATOVS	16	ALLSKY	215	SSMI/TRMM	3	AMSUA	570	AMSU-A	4	METOP-2 (Metop-A)	-1
5024	METOP-A IASI Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	4	METOP-2 (Metop-A)	-1
35004	METOP-A GOME-2 layer integrated mass density with averaging kernels	36	RESAT Averaging Kernels	3	Satellite Sounding	209	Layer integrated mass density with averaging kernels	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	4	METOP-2 (Metop-A)	-1
35005	METOP-A IASI layer volumetric mixing ratio with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	228	Layer volumetric mixing ratio with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	4	METOP-2 (Metop-A)	-1
35007	METOP-A IASI layer integrated mass density with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	229	Layer integrated mass density with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	4	METOP-2 (Metop-A)	-1
5037	METOP-A GOME-2 MACC O3	6	RESAT	3	Satellite Sounding	205	Retrieved O3 Layers for MACC ozone observation operator	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	4	METOP-2 (Metop-A)	-1
5047	METOP-A GOME-2 Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	4	METOP-2 (Metop-A)	-1
35010	METOP-A GOME-2 layer integrated mass density with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	229	Layer integrated mass density with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	4	METOP-2 (Metop-A)	-1
44002	MHS METOP-A MHS Radiances All-sky	45	MHS All-sky	3	Satellite Sounding	55	ATOVS	16	ALLSKY	215	SSMI/TRMM	15	MHS	203	MHS	4	METOP-2 (Metop-A)	-1
5071	METOP-A GOME-2 PMAP	6	RESAT	3	Satellite Sounding	207	MODIS aerosol	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	4	METOP-2 (Metop-A)	-1
9011	Metop-C ASCAT	10	SCATT	12	ERS-SSMI-SCAT	139	ASCAT	9	Scatterometer	139	ASCAT	190	ASCAT	190	ASCAT	5	METOP-3 (Metop-C)	-1
5085	METOP-C GOME-2 O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	5	METOP-3 (Metop-C)	-1
5086	METOP-C GOME-2 PMAP	6	RESAT	3	Satellite Sounding	207	MODIS aerosol	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	5	METOP-3 (Metop-C)	-1
5088	METOP-C GOME-2 Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	5	METOP-3 (Metop-C)	-1
35021	METOP-C IASI layer volumetric mixing ratio with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	228	Layer volumetric mixing ratio with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	5	METOP-3 (Metop-C)	-1
35020	METOP-C GOME-2 layer integrated mass density with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	229	Layer integrated mass density with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	5	METOP-3 (Metop-C)	-1
5089	METOP-C IASI Layer integrated mass density	6	RESAT	3	Satellite Sounding	208	Layer integrated mass density	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	5	METOP-3 (Metop-C)	-1
35019	METOP-C GOME-2 layer integrated mass density with averaging kernels	36	RESAT Averaging Kernels	3	Satellite Sounding	209	Layer integrated mass density with averaging kernels	7	SATEM	206	Retrieved Atmospheric Constituents	220	GOME-2	220	GOME-2	5	METOP-3 (Metop-C)	-1
35018	METOP-C IASI layer integrated mass density with averaging kernels and a priori profile	36	RESAT Averaging Kernels	3	Satellite Sounding	229	Layer integrated mass density with averaging kernels and a priori profile	7	SATEM	206	Retrieved Atmospheric Constituents	221	IASI	221	IASI	5	METOP-3 (Metop-C)	-1
11003	METOP-C IASI Radiances	12	IASI	3	Satellite Sounding	240	IASI	7	SATEM	210	Radiances	16	IASI	221	IASI	5	METOP-3 (Metop-C)	-1
1010	METOP-C AMSUA Radiances	2	AMSUA	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	3	AMSUA	570	AMSU-A	5	METOP-3 (Metop-C)	-1
21010	METOP-C AMSUA Radiances All-Sky	22	AMSUA All-sky	3	Satellite Sounding	55	ATOVS	16	ALLSKY	215	SSMI/TRMM	3	AMSUA	570	AMSU-A	5	METOP-3 (Metop-C)	-1
3005	METOP-C MHS Radiances	4	MHS	3	Satellite Sounding	55	ATOVS	7	SATEM	210	Radiances	15	MHS	203	MHS	5	METOP-3 (Metop-C)	-1
7019	METOP-C GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	202	GRAS	202	GRAS	5	METOP-3 (Metop-C)	-1
44005	MHS METOP-C MHS Radiances All-sky	45	MHS All-sky	3	Satellite Sounding	55	ATOVS	16	ALLSKY	215	SSMI/TRMM	15	MHS	203	MHS	5	METOP-3 (Metop-C)	-1
7002	CHAMP GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	102	GPS	102	CHAMP GPS sounder	41	CHAMP	-1
7010	TerraSAR-X GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	103	IGOR	103	IGOR	42	TerraSAR-X	-1
7015	TanDEM-X GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	103	IGOR	103	IGOR	43	TanDEM-X	-1
7023	PAZ GPSRO	8	GPSRO	3	Satellite Sounding	250	GPS Radio Occultation	10	Limb	250	GPS Radio Occultation	103	IGOR	103	IGOR	44	PAZ	-1
18001	SMOS	19	SMOS	30	SMOS	203	SMOS	7	SATEM	400	SMOS	18	MIRAS	176	MIRAS	46	SMOS	-1
45001	AEOLUS HLOS Wind Level 2B	46	Doppler Wind Lidar	2	Upper Air Sounding	251	Aeolus L2B wind lidar	15	LIDAR	187	Doppler Wind Lidar	-1	MISSING	130	ALADIN	48	AEOLUS	-1
4020	METEOSAT 4 GEOS Radiances	5	GEOS	5	SATOB	89	GEOS Radiances	7	SATEM	210	Radiances	20	MVIRI	205	MVIRI	51	METEOSAT 4	-1
4017	METEOSAT 5 GEOS Radiances	5	GEOS	5	SATOB	89	GEOS Radiances	7	SATEM	210	Radiances	20	MVIRI	205	MVIRI	52	METEOSAT 5	-1
4021	METEOSAT 6 GEOS Radiances	5	GEOS	5	SATOB	89	GEOS Radiances	7	SATEM	210	Radiances	20	MVIRI	205	MVIRI	53	METEOSAT 6	-1
4007	METEOSAT 7 GEOS Radiances	5	GEOS	5	SATOB	89	GEOS Radiances	7	SATEM	210	Radiances	20	MVIRI	205	MVIRI	54	METEOSAT 7	-1
4008	METEOSAT 8 GEOS Radiances	5	GEOS	5	SATOB	189	GEOS Radiances	7	SATEM	210	Radiances	21	SEVIRI RADIANCES	207	SEVIRI	55	METEOSAT 8	-1
5002	METEOSAT 8 SEVIRI O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	55	METEOSAT 8	-1
5026	METEOSAT 8 SEVIRI MACC O3	6	RESAT	3	Satellite Sounding	205	Retrieved O3 Layers for MACC ozone observation operator	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	55	METEOSAT 8	-1
4018	METEOSAT 8 GEOS Allsky Radiances	5	GEOS	5	SATOB	190	GEOS Allsky Radiances	7	SATEM	210	Radiances	21	SEVIRI RADIANCES	207	SEVIRI	55	METEOSAT 8	-1
4009	METEOSAT 9 GEOS Radiances	5	GEOS	5	SATOB	189	GEOS Radiances	7	SATEM	210	Radiances	21	SEVIRI RADIANCES	207	SEVIRI	56	METEOSAT 9	-1
5003	METEOSAT 9 SEVIRI O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	56	METEOSAT 9	-1
4013	METEOSAT 9 GEOS Allsky Radiances	5	GEOS	5	SATOB	190	GEOS Allsky Radiances	7	SATEM	210	Radiances	21	SEVIRI RADIANCES	207	SEVIRI	56	METEOSAT 9	-1
5027	METEOSAT 9 SEVIRI MACC O3	6	RESAT	3	Satellite Sounding	205	Retrieved O3 Layers for MACC ozone observation operator	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	56	METEOSAT 9	-1
5063	METEOSAT-9 SEVIRI aerosol optical depth	6	RESAT	3	Satellite Sounding	223	Satellite aerosol optical depth	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	56	METEOSAT 9	-1
4016	METEOSAT 10 GEOS Allsky Radiances	5	GEOS	5	SATOB	190	GEOS Allsky Radiances	7	SATEM	210	Radiances	21	SEVIRI RADIANCES	207	SEVIRI	57	METEOSAT 10	-1
5058	METEOSAT 10 SEVIRI O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	57	METEOSAT 10	-1
5064	METEOSAT-10 SEVIRI aerosol optical depth	6	RESAT	3	Satellite Sounding	223	Satellite aerosol optical depth	7	SATEM	206	Retrieved Atmospheric Constituents	207	SEVIRI	207	SEVIRI	57	METEOSAT 10	-1
5014	ENVISAT SCIAMACHY O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	175	SCIAMACHY	175	SCIAMACHY	60	ENVISAT	-1
5015	ENVISAT GOMOS O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	172	GOMOS	172	GOMOS	60	ENVISAT	-1
5016	ENVISAT MIPAS O3	6	RESAT	3	Satellite Sounding	206	Retrieved O3 Layers	7	SATEM	206	Retrieved Atmospheric Constituents	161	MIPAS	161	MIPAS	60	ENVISAT	-1
