id	description	group	bufrtype	subtype	obstype	codetype	sensor	satellite_instrument	satellite_identifier	accumulation_length
35010	METOP-A GOME-2 layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-2 (Metop-A)	-1
44002	MHS METOP-A MHS Radiances All-sky	MHS All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	MHS	MHS	METOP-2 (Metop-A)	-1
5071	METOP-A GOME-2 PMAP	RESAT	Satellite Sounding	MODIS aerosol	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-2 (Metop-A)	-1
9011	Metop-C ASCAT	SCATT	ERS-SSMI-SCAT	ASCAT	Scatterometer	ASCAT	ASCAT	ASCAT	METOP-3 (Metop-C)	-1
5085	METOP-C GOME-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-3 (Metop-C)	-1
5086	METOP-C GOME-2 PMAP	RESAT	Satellite Sounding	MODIS aerosol	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-3 (Metop-C)	-1
5088	METOP-C GOME-2 Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-3 (Metop-C)	-1
35021	METOP-C IASI layer volumetric mixing ratio with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer volumetric mixing ratio with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-3 (Metop-C)	-1
35020	METOP-C GOME-2 layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-3 (Metop-C)	-1
5089	METOP-C IASI Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-3 (Metop-C)	-1
35019	METOP-C GOME-2 layer integrated mass density with averaging kernels	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-3 (Metop-C)	-1
35018	METOP-C IASI layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-3 (Metop-C)	-1
11003	METOP-C IASI Radiances	IASI	Satellite Sounding	IASI	SATEM	Radiances	IASI	IASI	METOP-3 (Metop-C)	-1
1010	METOP-C AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	METOP-3 (Metop-C)	-1
21010	METOP-C AMSUA Radiances All-Sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	METOP-3 (Metop-C)	-1
3005	METOP-C MHS Radiances	MHS	Satellite Sounding	ATOVS	SATEM	Radiances	MHS	MHS	METOP-3 (Metop-C)	-1
7019	METOP-C GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	GRAS	GRAS	METOP-3 (Metop-C)	-1
44005	MHS METOP-C MHS Radiances All-sky	MHS All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	MHS	MHS	METOP-3 (Metop-C)	-1
7002	CHAMP GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	GPS	CHAMP GPS sounder	CHAMP	-1
7010	TerraSAR-X GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	IGOR	IGOR	TerraSAR-X	-1
7015	TanDEM-X GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	IGOR	IGOR	TanDEM-X	-1
7023	PAZ GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	IGOR	IGOR	PAZ	-1
18001	SMOS	SMOS	SMOS	SMOS	SATEM	SMOS	MIRAS	MIRAS	SMOS	-1
45001	AEOLUS HLOS Wind Level 2B	Doppler Wind Lidar	Upper Air Sounding	Aeolus L2B wind lidar	LIDAR	Doppler Wind Lidar	MISSING	ALADIN	AEOLUS	-1
4020	METEOSAT 4 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MVIRI	MVIRI	METEOSAT 4	-1
4017	METEOSAT 5 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MVIRI	MVIRI	METEOSAT 5	-1
4021	METEOSAT 6 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MVIRI	MVIRI	METEOSAT 6	-1
4007	METEOSAT 7 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MVIRI	MVIRI	METEOSAT 7	-1
4008	METEOSAT 8 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	SEVIRI RADIANCES	SEVIRI	METEOSAT 8	-1
5002	METEOSAT 8 SEVIRI O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 8	-1
5026	METEOSAT 8 SEVIRI MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 8	-1
4018	METEOSAT 8 GEOS Allsky Radiances	GEOS	SATOB	GEOS Allsky Radiances	SATEM	Radiances	SEVIRI RADIANCES	SEVIRI	METEOSAT 8	-1
4009	METEOSAT 9 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	SEVIRI RADIANCES	SEVIRI	METEOSAT 9	-1
5003	METEOSAT 9 SEVIRI O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 9	-1
4013	METEOSAT 9 GEOS Allsky Radiances	GEOS	SATOB	GEOS Allsky Radiances	SATEM	Radiances	SEVIRI RADIANCES	SEVIRI	METEOSAT 9	-1
5027	METEOSAT 9 SEVIRI MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 9	-1
5063	METEOSAT-9 SEVIRI aerosol optical depth	RESAT	Satellite Sounding	Satellite aerosol optical depth	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 9	-1
4016	METEOSAT 10 GEOS Allsky Radiances	GEOS	SATOB	GEOS Allsky Radiances	SATEM	Radiances	SEVIRI RADIANCES	SEVIRI	METEOSAT 10	-1
5058	METEOSAT 10 SEVIRI O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 10	-1
5064	METEOSAT-10 SEVIRI aerosol optical depth	RESAT	Satellite Sounding	Satellite aerosol optical depth	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 10	-1
5014	ENVISAT SCIAMACHY O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SCIAMACHY	SCIAMACHY	ENVISAT	-1
5015	ENVISAT GOMOS O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	GOMOS	GOMOS	ENVISAT	-1
5016	ENVISAT MIPAS O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	MIPAS	MIPAS	ENVISAT	-1
6001	ENVISAT MERIS TCWV	MERIS	Satellite Sounding	MERIS	SATEM	TCWC	MERIS	MERIS	ENVISAT	-1
35003	ENVISAT SCIAMACHY layer integrated mass density with averaging kernels	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels	SATEM	Retrieved Atmospheric Constituents	SCIAMACHY	SCIAMACHY	ENVISAT	-1
35006	ENVISAT SCIAMACHY layer volumetric mixing ratio with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer volumetric mixing ratio with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	SCIAMACHY	SCIAMACHY	ENVISAT	-1
5038	ENVISAT SCIAMACHY MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	SCIAMACHY	SCIAMACHY	ENVISAT	-1
5039	ENVISAT GOMOS MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	GOMOS	GOMOS	ENVISAT	-1
5040	ENVISAT MIPAS MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	MIPAS	MIPAS	ENVISAT	-1
5045	ENVISAT SCIAMACHY Layer volumetric mixing ratio	RESAT	Satellite Sounding	Layer volumetric mixing ratio	SATEM	Retrieved Atmospheric Constituents	SCIAMACHY	SCIAMACHY	ENVISAT	-1
5046	ENVISAT SCIAMACHY Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	SCIAMACHY	SCIAMACHY	ENVISAT	-1
5049	TERRA MOPITT Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	MOPITT	MOPITT	ENVISAT	-1
5067	ENVISAT AATSR Aerosol	RESAT	Satellite Sounding	MODIS aerosol	SATEM	Retrieved Atmospheric Constituents	SSMIS	AATSR	ENVISAT	-1
4023	METEOSAT 11 GEOS Allsky Radiances	GEOS	SATOB	GEOS Allsky Radiances	SATEM	Radiances	SEVIRI RADIANCES	SEVIRI	METEOSAT 11	-1
5080	METEOSAT 11 SEVIRI aerosol optical depth	RESAT	Satellite Sounding	Satellite aerosol optical depth	SATEM	Retrieved Atmospheric Constituents	SEVIRI	SEVIRI	METEOSAT 11	-1
5069	TOMS ADEOS-I	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	TOMS	TOMS	ADEOS	-1
41001	GCOM-W1 AMSR-2 Radiances All-sky	AMSR-2 All-sky	Satellite Sounding	AMSR-2	ALLSKY	SSMI/TRMM	AMSR-2	AMSR2	GCOM-W1	-1
5021	GOSAT TANSO-FTS Layer volumetric mixing ratio	RESAT	Satellite Sounding	Layer volumetric mixing ratio	SATEM	Retrieved Atmospheric Constituents	TANSO-FTS	TANSO-FTS	GOSAT	-1
35009	GOSAT TANSO-FTS layer volumetric mixing ratio with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer volumetric mixing ratio with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	TANSO-FTS	TANSO-FTS	GOSAT	-1
4010	MTSAT-1R GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MTSATIMG	JAMI	MTSAT-1R	-1
4012	MTSAT-2 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MTSATIMG	JAMI	MTSAT-2	-1
4022	Himawari 8 GEOS radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	AHI	AHI	Himawari-8	-1
4024	Himawari 9 GEOS radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	AHI	AHI	Himawari-9	-1
4	NOAA 8 HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/2	NOAA 8	-1
30004	NOAA 8 MSU Radiances	MSU	Satellite Sounding	ATOVS	SATEM	Radiances	MSU	MSU	NOAA 8	-1
31004	NOAA 8 SSU Radiances	SSU	Satellite Sounding	ATOVS	SATEM	Radiances	SSU	SSU	NOAA 8	-1
16	NOAA 8 HIRS Radiances	HIRS	Satellite Sounding	TOVS1B	SATEM	Radiances	HIRS	HIRS/2	NOAA 8	-1
30010	NOAA 8 MSU TOVS1B Radiances	MSU	Satellite Sounding	TOVS1B	SATEM	Radiances	MSU	MSU	NOAA 8	-1
31009	NOAA 8 SSU TOVS1B Radiances	SSU	Satellite Sounding	TOVS1B	SATEM	Radiances	SSU	SSU	NOAA 8	-1
5	NOAA 9 HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/2	NOAA 9	-1
5006	NOAA 9 SBUV-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 9	-1
30005	NOAA 9 MSU Radiances	MSU	Satellite Sounding	ATOVS	SATEM	Radiances	MSU	MSU	NOAA 9	-1
31005	NOAA 9 SSU Radiances	SSU	Satellite Sounding	ATOVS	SATEM	Radiances	SSU	SSU	NOAA 9	-1
17	NOAA 9 HIRS Radiances	HIRS	Satellite Sounding	TOVS1B	SATEM	Radiances	HIRS	HIRS/2	NOAA 9	-1
